"ID","Key","Value"
"b9fbd9c1-15fc-429a-af50-a49906a8a564","",""
"2944ae27-bdcb-4164-9886-a7159cecb753","Onspot ticket service","Available"
"2944ae27-bdcb-4164-9886-a7159cecb753","Security checks","Yes"
"2944ae27-bdcb-4164-9886-a7159cecb753","Parking space","Yes"
"2944ae27-bdcb-4164-9886-a7159cecb753","",""
"c60ccbc8-e2b4-408d-b8f2-0376928afc81","Self service kiosks","available"
"c60ccbc8-e2b4-408d-b8f2-0376928afc81","Mobile checkin","available"
"c60ccbc8-e2b4-408d-b8f2-0376928afc81","Isues boarding pass","yes"
"9da5acbb-69bd-40f7-9c9d-aa5776b9b404","",""
"1acb752a-35e0-4cc2-8d1c-9da82484f514","fdgv",""
"9908a940-0345-45f1-8ed5-d716a564e77b","Seasonal discount","Available"
"afb286a2-f057-449f-99b1-81d348aa47bd","",""
"072be3f4-606f-41f5-b396-bd3d92f6a0c5","internet speed","55Mbps"
"fdda0889-b334-427d-ae9a-2f7009c9782d","Veg restaturant","No"
"fdda0889-b334-427d-ae9a-2f7009c9782d","",""
"ea9e267a-675a-417d-ab45-897dd7b7b3ec","",""
"3a902fea-4806-40c4-868d-09ebd4036116","",""
"3a902fea-4806-40c4-868d-09ebd4036116","",""
"c75cc874-3f25-4570-a39f-383d1562b2a8","",""
"1ba50859-525b-4c51-b1be-4e2971e11003","Access_Type","Write"
"5ceefb30-0c8f-40d6-9b6e-a48efcc42674","Access_Type","Write"
"8f7af295-a7b4-43c4-adbd-e3cf670d783c","Access_Type","Write"
"920a3e3b-61d7-4774-952e-5ceb5bd8f4f5","Access_Type","Write"
"090bd431-8cbc-4e9f-9554-2e99104ef434","Access_Type","Write"
"f262279f-388b-41e0-8bec-e42633d0d91d","Access_Type","Write"
"fac965cd-f04a-40fb-81ee-7124bb69e28e","Access_Type","Write"
"80464a9e-12de-4e51-bc8a-860dbbbd473a","Access_Type","Write"
"a0b8c55b-4e9d-4720-90c4-9248888a9ec5","Access_Type","Write"
"d8c0c321-f733-42e6-8b56-835f5de92654","Access_Type","Write"
"120168cf-dbc8-49f2-93f2-6b3bb5a7d450","Access_Type","Write"
"3af8debd-c70f-4303-aafc-e84d91dc56ec","Access_Type","Write"
"0d3768f3-c692-409e-86bd-4769ba530109","Access_Type","Write"
"6245caf9-67ef-4296-ba0c-2e99cfea4b2b","Access_Type","Write"
"989cb229-4031-4266-923a-b94a41c269b4","Access_Type","Write"
"e492796e-2aaf-4524-8f1c-bfead12dac4a","Access_Type","Write"
"43d93be6-e01b-491d-9d74-9f653f8d751b","Access_Type","Write"
"bebff3aa-6548-4a5c-807f-7e1653fdf8dc","Access_Type","Write"
"a01f1676-85e4-45b5-9fb8-74b8b447849f","Access_Type","Write"
"2c9f2732-a393-4c27-ba43-bbc90d486578","Access_Type","Write"
"de661cb0-4af2-4f0b-8ef4-72bcd02b28d0","Access_Type","Write"
"c088246d-4419-4036-ae90-8f2f3d3f50d2","Access_Type","Write"
