"ID","Type","Name","Documentation","Source","Target"
"282abb04-bb2f-4592-b34b-6d039836f928","AccessRelationship","","","0ba3599b-48ac-42a9-b528-9dd6b697f73d","dadd41f9-8ce4-45cb-93de-96fa96dcc8ee"
"04141139-a5db-465f-a946-364e4b266ca2","AccessRelationship","","","fd52f629-8dfa-48e7-bfbd-5e5e07e62dcb","d8d8e205-8a96-4e97-b8fb-934b4006ba97"
"cd4a9461-d58b-4a13-940b-ba0aaf5403d4","AccessRelationship","","","251f5e23-0cd0-4eea-ba71-465d0aa3a880","d80433fc-2f2e-498d-a3ef-bfcdba55e5ab"
"7df76302-48b6-411f-b172-104a41807aa6","AccessRelationship","","","d8e9e2c7-b43b-401a-95d6-e3870ca030d3","9519d6f7-7176-4242-bc6c-25a6c39b95b0"
"8bf4d488-b40c-4f53-9a5a-7bbf092e4d7c","AccessRelationship","","","1dcf7c59-7ff1-4fbc-ba2e-7039bac86302","dadd41f9-8ce4-45cb-93de-96fa96dcc8ee"
"00e6d62a-d141-4c33-b5d2-a88036e8ce99","AccessRelationship","","","87a3974d-d424-4218-aa2f-029492867aab","6fbafd94-3194-40fc-b185-c680342c19d5"
"c6a37cc9-326f-40cc-9f36-f37cd6347881","AccessRelationship","","","3618608e-6edf-403a-8275-84c2fe75861d","dd0797ef-12d0-4068-8246-08796f767661"
"957de5c3-c0b2-4966-83e2-e1e46a9ca36c","AccessRelationship","","","f07fa889-e229-409b-a4a7-07bd422d3d29","e3cc381e-3fd5-4712-b382-02139d9aad31"
"5214684d-798b-4d01-82f3-33d28e9cb579","AccessRelationship","","","92b547fe-4334-48c1-9436-6c8acde470ec","d80433fc-2f2e-498d-a3ef-bfcdba55e5ab"
"66e43da0-2069-425a-b8c0-f8715e6ff6ba","AccessRelationship","","","eae98c2d-c4b4-47c7-8159-e84c3e68d94c","bb668787-fd96-4b33-9ca1-ffcc1f86acaf"
"09ff6cfc-e54d-4199-9d58-3fc0adcb5dcd","AccessRelationship","","","43b373fd-b4b8-42d2-bd33-37788ff86549","e44584b3-fe76-4fc4-aa66-fb122ed6106f"
"447d99a7-1312-4961-b7e7-6e88318b37eb","AccessRelationship","","","251f5e23-0cd0-4eea-ba71-465d0aa3a880","67b9f0d8-8466-4e4e-bf6d-9a24cdd46693"
"50f9abdf-2eef-496d-b97a-b39baff8e3c6","AccessRelationship","","","1dcf7c59-7ff1-4fbc-ba2e-7039bac86302","dd0797ef-12d0-4068-8246-08796f767661"
"50211edc-240e-48e5-a761-f7ec20404f49","AccessRelationship","","","1dcf7c59-7ff1-4fbc-ba2e-7039bac86302","6fbafd94-3194-40fc-b185-c680342c19d5"
"297086c7-1263-42dd-84b9-ceae148d3bb5","AccessRelationship","","","20eba632-0f6a-400d-8bbf-09b40bb9e240","f5d34ac6-ea96-49e3-846e-84a366509533"
"198a1329-65ba-4c33-bc3e-906d5beb6930","AccessRelationship","","","919a6fcd-1234-4dd0-af17-969e247ba84f","67b9f0d8-8466-4e4e-bf6d-9a24cdd46693"
"cfe1da8c-26b6-4288-9fdb-2d5bb36b900e","AccessRelationship","","","3a7e32c0-013b-4171-95e0-5650f41b6810","e44584b3-fe76-4fc4-aa66-fb122ed6106f"
"5c3438d2-03d7-4639-9545-df53707d2a59","AccessRelationship","","","3a7e32c0-013b-4171-95e0-5650f41b6810","f5d34ac6-ea96-49e3-846e-84a366509533"
"a90f48c3-c6f1-4aa9-94ca-b3929d6f04a6","AccessRelationship","","","1161401f-2e9f-4341-b757-2a72c3f44e5a","23466274-3933-4f64-90ec-83d0283554d8"
"342a2333-3b5f-497c-8064-4fb4164889f9","AccessRelationship","","","b5329b98-c2ca-42e5-bc19-70a2d5acdca4","493981df-b435-4463-ae37-2addf533112e"
"2a12ecca-6c9a-4836-ae26-1bbdaf13a803","AccessRelationship","","","99bfed68-a532-4681-a123-e99477410d36","6fbafd94-3194-40fc-b185-c680342c19d5"
"2fa8fc10-e749-4f8e-bef8-446f5351aeea","AccessRelationship","","","3a0e233f-9873-46ad-a13e-3e4ebb8d3898","6fbafd94-3194-40fc-b185-c680342c19d5"
"876f4516-d1f6-436b-8be4-fceb394eadc6","AggregationRelationship","","","ca110193-674a-485b-8a2d-ca465ede4d4d","5ab2c4dd-eb4e-4eca-ba12-3aeab66e86ea"
"170e5ac3-8c2c-4cb2-987e-b02bc25e4074","AggregationRelationship","","","c6d5a8b2-28e9-49a6-aedc-cb65d5c1c520","fd52f629-8dfa-48e7-bfbd-5e5e07e62dcb"
"ca96a0ed-d296-4803-9414-37fbc3498e71","AggregationRelationship","","","4b818aef-f805-4f9e-a82a-e0cbc8d90814","44100e74-5bf9-4e16-8eee-4c5af61d4d91"
"c243ce49-31a2-46aa-99c4-c405eb0b817c","AggregationRelationship","","","ca110193-674a-485b-8a2d-ca465ede4d4d","2f7c6840-21f1-41bf-909a-718d2989fe5b"
"6c4a8d7b-6ee3-46d7-8183-5fc3a4a59dde","AggregationRelationship","","","a195d8cb-7992-4973-a0b9-7959c1658a94","ab08f02b-1c60-41af-ad51-1c37281c95cb"
"bc584ab2-10b2-41ef-bd5a-d6c1c0d42be6","AggregationRelationship","","","47a6e9a3-6070-4e1f-8927-9f8e814a008f","f07fa889-e229-409b-a4a7-07bd422d3d29"
"c3f79efa-d26f-4825-829a-4621f2aba751","AggregationRelationship","","","5c1a501f-e20c-415c-9edf-35383610a57e","29a57746-3556-4c63-ba6f-5c8fd807762d"
"8ec810f4-5cbd-403d-97c2-64d0b400cce6","AggregationRelationship","","","ca110193-674a-485b-8a2d-ca465ede4d4d","64a4c214-ff34-44ed-a4b5-346180dd7475"
"ed7e16f3-7948-49b3-a1ce-0423fe9ca91d","AggregationRelationship","","","a195d8cb-7992-4973-a0b9-7959c1658a94","d8e9e2c7-b43b-401a-95d6-e3870ca030d3"
"ebc1ed29-bd6c-4b24-9139-55b534bb0de5","AggregationRelationship","","","47a6e9a3-6070-4e1f-8927-9f8e814a008f","87af731b-b05e-454c-9047-3d1c270a546e"
"71f9404a-5bbd-43cd-b6e1-f487cc7517cf","AggregationRelationship","","","5c1a501f-e20c-415c-9edf-35383610a57e","0011d22d-21dc-4ff1-8938-8b00b0a95c9b"
"2e7ce8ce-896c-4313-b6e7-6e86ab494cbb","AggregationRelationship","","","5c1a501f-e20c-415c-9edf-35383610a57e","997f5d29-d7cb-4baf-a71a-4a2932b1a824"
"f5e7f2ca-38f2-47ec-86c5-683ebbd110db","AggregationRelationship","","","4b818aef-f805-4f9e-a82a-e0cbc8d90814","d096fdb2-3268-496d-8c34-30f42b6ea1f6"
